Search Term,Title,Abstract
kidney disease,Chronic kidney disease.,"Chronic kidney disease is a general term for heterogeneous disorders affecting kidney structure and function. The 2002 guidelines for definition and classification of this disease represented an important shift towards its recognition as a worldwide public health problem that should be managed in its early stages by general internists. Disease and management are classified according to stages of disease severity, which are assessed from glomerular filtration rate (GFR) and albuminuria, and clinical diagnosis (cause and pathology). Chronic kidney disease can be detected with routine laboratory tests, and some treatments can prevent development and slow disease progression, reduce complications of decreased GFR and risk of cardiovascular disease, and improve survival and quality of life. In this Seminar we discuss disease burden, recommendations for assessment and management, and future challenges. We emphasise clinical practice guidelines, clinical trials, and areas of uncertainty."
kidney disease,Kidney disease models: tools to identify mechanisms and potential therapeutic targets.,"Acute kidney injury (AKI) and chronic kidney disease (CKD) are worldwide public health problems affecting millions of people and have rapidly increased in prevalence in recent years. Due to the multiple causes of renal failure, many animal models have been developed to advance our understanding of human nephropathy. Among these experimental models, rodents have been extensively used to enable mechanistic understanding of kidney disease induction and progression, as well as to identify potential targets for therapy. In this review, we discuss AKI models induced by surgical operation and drugs or toxins, as well as a variety of CKD models (mainly genetically modified mouse models). Results from recent and ongoing clinical trials and conceptual advances derived from animal models are also explored."
kidney disease,Urine Sediment Examination in the Diagnosis and Management of Kidney Disease: Core Curriculum 2019.,"Automated urine technology and centralized laboratory testing are becoming the standard for providing urinalysis data to clinicians, including nephrologists. This trend has had the unintended consequence of making examination of urine sediment by nephrologists a relatively rare event. In addition, the nephrology community appears to have lost interest in and forgotten the utility of provider-performed urine microscopy. However, it is critical to remember that urine sediment examination remains a time-honored test that provides a wealth of information about the patient's underlying kidney disease. This test performs very favorably as a urinary ""biomarker"" for a number of acute kidney diseases. When used properly, urine sediment findings alert health care providers to the presence of kidney disease, while also providing diagnostic information that often identifies the compartment of kidney injury. Urine sediment findings may also guide therapy and assist in prognostication. In this review of the role of urine sediment examination in the diagnosis and management of kidney disease, we seek to help experienced nephrologists maintain their competency in performing this test and encourage ongoing training of nephrology fellows and others less experienced in such analyses."
kidney disease,Obstructive Kidney Disease.,"Obstructive kidney disease is a common urologic diagnosis and includes kidney stones, polycystic kidney disease, and renal artery stenosis. Kidney stones are a common emergency department admission in the United States. Men are affected more than women. Polycystic kidney disease is a genetic renal disease that may not reveal symptoms until an individual reaches age 30 years. Renal artery stenosis contributes to decreased perfusion to the kidneys, which contributes to hypertension and end-stage renal disease."
kidney disease,"Kidney disease and obesity: epidemiology, mechanisms and treatment.","The theme of World Kidney Day 2017 is 'kidney disease and obesity: healthy lifestyle for healthy kidneys'. To mark this event, Nature Reviews Nephrology invited five leading researchers to describe changes in the epidemiology of obesity-related kidney disease, advances in current understanding of the mechanisms and current approaches to the management of affected patients. The researchers also highlight new advances that could lead to the development of novel treatments and identify areas in which further basic and clinical studies are needed."
kidney disease,Kidney Disease and HIV Infection.,"The risk of acute and chronic kidney disease remains higher in HIV-infected persons than in the general population, and kidney disease in HIV-infected persons is associated with poor outcomes, including increased mortality. HIV-associated nephropathy occurs less frequently in the era of antiretroviral therapy. HIV immune complex kidney disease is being diagnosed more frequently, but the term is currently used to refer to a heterogeneous group of kidney diseases. Comorbid chronic kidney disease poses a growing burden in HIV-infected persons due to an overrepresentation of risk factors such as black race, diabetes, hypertension, and coinfection with hepatitis C virus. Drug-induced kidney toxicity also remains a concern. This article summarizes a presentation by Christina M. Wyatt, MD, at the Ryan White HIV/AIDS Program Clinical Care Conference held in New Orleans, Louisiana, in December 2015."
kidney disease,Thyroid dysfunction and kidney disease: An update.,"Thyroid hormones influence renal development, kidney hemodynamics, glomerular filtration rate and sodium and water homeostasis. Hypothyroidism and hyperthyroidism affect renal function by direct renal effects as well as systemic hemodynamic, metabolic and cardiovascular effects. Hypothyroidism has been associated with increased serum creatinine and decreased glomerular filtration rate. The reverse effects have been reported in thyrotoxicosis. Most of renal manifestations of thyroid dysfunction are reversible with treatment. Kidney disease may also cause thyroid dysfunction by several mechanisms. Nephrotic syndrome has been associated to changes in serum thyroid hormone concentrations. Different forms of glomerulonephritis and tubulointerstitial disease may be linked to thyroid derangements. A high prevalence of thyroid hormone alteration has been reported in acute kidney injury. Thyroid dysfunction is highly prevalent in chronic kidney disease patients. Subclinical hypothyroidism and low triiodothyronine syndrome are common features in patients with chronic kidney disease. Patients treated by both hemodialysis and peritoneal dialysis, and renal transplantation recipients, exhibit thyroid hormone alterations and thyroid disease with higher frequency than that found in the general population. Drugs used in the therapy of thyroid disease may lead to renal complications and, similarly, drugs used in kidney disorders may be associated to thyroid alterations. Lastly, low thyroid hormones, especially low triiodothyronine levels, in patients with chronic kidney disease have been related to a higher risk of cardiovascular disease and all-cause mortality. Interpretation of the interactions between thyroid and renal function is a challenge for clinicians involved in the treatment of patients with thyroid and kidney disease."
kidney disease,Kidney Disease and Epilepsy.,"Chronic kidney disease and seizures often co-exist. When seizures are provoked in patients with kidney disease, their treatment poses a particular challenge. Seizures may be provoked in the context of uremia, and toxic substances associated with uremic encephalopathy. In that case, the mainstay of therapy is to treat the uremia before consideration for anticonvulsant therapy. Treatment of seizures in the setting of chronic kidney disease requires special attention to selection of anticonvulsant medications and knowledge of the altered pharmacokinetics of these medications, which may require special titration schedule in that setting. The purpose of this review is to summarize the current knowledge about inter-relation of seizures and kidney disease. The review will also help practitioners who treat patients with renal failure and coexisting seizures in choosing the best treatment options."
kidney disease,"National Kidney Foundation practice guidelines for chronic kidney disease: evaluation, classification, and stratification.","Chronic kidney disease is a worldwide public health problem with an increasing incidence and prevalence, poor outcomes, and high cost. Outcomes of chronic kidney disease include not only kidney failure but also complications of decreased kidney function and cardiovascular disease. Current evidence suggests that some of these adverse outcomes can be prevented or delayed by early detection and treatment. Unfortunately, chronic kidney disease is underdiagnosed and undertreated, in part as a result of lack of agreement on a definition and classification of its stages of progression. Recent clinical practice guidelines by the National Kidney Foundation 1) define chronic kidney disease and classify its stages, regardless of underlying cause, 2) evaluate laboratory measurements for the clinical assessment of kidney disease, 3) associate the level of kidney function with complications of chronic kidney disease, and 4) stratify the risk for loss of kidney function and development of cardiovascular disease. The guidelines were developed by using an approach based on the procedure outlined by the Agency for Healthcare Research and Quality. This paper presents the definition and five-stage classification system of chronic kidney disease and summarizes the major recommendations on early detection in adults. Recommendations include identifying persons at increased risk (those with diabetes, those with hypertension, those with a family history of chronic kidney disease, those older than 60 years of age, or those with U.S. racial or ethnic minority status), detecting kidney damage by measuring the albumin-creatinine ratio in untimed (""spot"") urine specimens, and estimating the glomerular filtration rate from serum creatinine measurements by using prediction equations. Because of the high prevalence of early stages of chronic kidney disease in the general population (approximately 11% of adults), this information is particularly important for general internists and specialists."
kidney disease,Epidemiology of chronic kidney disease in children.,"In the past 30 years there have been major improvements in the care of children with chronic kidney disease (CKD). However, most of the available epidemiological data stem from end-stage renal disease (ESRD) registries and information on the earlier stages of pediatric CKD is still limited. The median reported incidence of renal replacement therapy (RRT) in children aged 0-19 years across the world in 2008 was 9 (range: 4-18) [corrected] per million of the age-related population). [corrected] The prevalence of RRT in 2008 ranged from 18 to 100 per million of the age-related population. Congenital disorders, including congenital anomalies of the kidney and urinary tract (CAKUT) and hereditary nephropathies, are responsible for about two thirds of all cases of CKD in developed countries, while acquired causes predominate in developing countries. Children with congenital disorders experience a slower progression of CKD than those with glomerulonephritis, resulting in a lower proportion of CAKUT in the ESRD population compared with less advanced stages of CKD. Most children with ESRD start on dialysis and then receive a transplant. While the survival rate of children with ERSD has improved, it remains about 30 times lower than that of healthy peers. Children now mainly die of cardiovascular causes and infection rather than from renal failure."
